questionId,questionTitle,content,difficulty,totalAccepted,totalSubmission,acRate,categoryTitle,likes,translatedTitle,translatedContent
1048,Clumsy Factorial,"Normally, the factorial of a positive integer n is the product of all positive integers less than or equal to n.  For example, factorial(10) = 10 * 9 * 8 * 7 * 6 * 5 * 4 * 3 * 2 * 1.

We instead make a clumsy factorial: using the integers in decreasing order, we swap out the multiply operations for a fixed rotation of operations: multiply (*), divide (/), add (+) and subtract (-) in this order.

For example, clumsy(10) = 10 * 9 / 8 + 7 - 6 * 5 / 4 + 3 - 2 * 1.  However, these operations are still applied using the usual order of operations of arithmetic: we do all multiplication and division steps before any addition or subtraction steps, and multiplication and division steps are processed left to right.

Additionally, the division that we use is floor division such that 10 * 9 / 8 equals 11.  This guarantees the result is an integer.

Implement the clumsy function as defined above: given an integer N, it returns the clumsy factorial of N.

 

Example 1:


Input: 4
Output: 7
Explanation: 7 = 4 * 3 / 2 + 1


Example 2:


Input: 10
Output: 12
Explanation: 12 = 10 * 9 / 8 + 7 - 6 * 5 / 4 + 3 - 2 * 1


 

Note:


	1 <= N <= 10000
	-2^31 <= answer <= 2^31 - 1  (The answer is guaranteed to fit within a 32-bit integer.)

",Medium,3214,6358,50.6%,Algorithms,14,笨阶乘,"通常，正整数 n 的阶乘是所有小于或等于 n 的正整数的乘积。例如，factorial(10) = 10 * 9 * 8 * 7 * 6 * 5 * 4 * 3 * 2 * 1。
相反，我们设计了一个笨阶乘 clumsy：在整数的递减序列中，我们以一个固定顺序的操作符序列来依次替换原有的乘法操作符：乘法(*)，除法(/)，加法(+)和减法(-)。
例如，clumsy(10) = 10 * 9 / 8 + 7 - 6 * 5 / 4 + 3 - 2 * 1。然而，这些运算仍然使用通常的算术运算顺序：我们在任何加、减步骤之前执行所有的乘法和除法步骤，并且按从左到右处理乘法和除法步骤。
另外，我们使用的除法是地板除法（floor division），所以 10 * 9 / 8 等于 11。这保证结果是一个整数。
实现上面定义的笨函数：给定一个整数 N，它返回 N 的笨阶乘。
 
示例 1：
输入：4
输出：7
解释：7 = 4 * 3 / 2 + 1
示例 2：
输入：10
输出：12
解释：12 = 10 * 9 / 8 + 7 - 6 * 5 / 4 + 3 - 2 * 1
 
提示：
	1 <= N <= 10000
	-2^31 <= answer <= 2^31 - 1  （答案保证符合 32 位整数。）
"
1049,Minimum Domino Rotations For Equal Row,"In a row of dominoes, A[i] and B[i] represent the top and bottom halves of the i-th domino.  (A domino is a tile with two numbers from 1 to 6 - one on each half of the tile.)

We may rotate the i-th domino, so that A[i] and B[i] swap values.

Return the minimum number of rotations so that all the values in A are the same, or all the values in B are the same.

If it cannot be done, return -1.

 

Example 1:




Input: A = [2,1,2,4,2,2], B = [5,2,6,2,3,2]
Output: 2
Explanation: 
The first figure represents the dominoes as given by A and B: before we do any rotations.
If we rotate the second and fourth dominoes, we can make every value in the top row equal to 2, as indicated by the second figure.


Example 2:


Input: A = [3,5,1,2,3], B = [3,6,3,3,4]
Output: -1
Explanation: 
In this case, it is not possible to rotate the dominoes to make one row of values equal.


 

Note:


	1 <= A[i], B[i] <= 6
	2 <= A.length == B.length <= 20000

",Medium,3384,7703,43.9%,Algorithms,34,行相等的最少多米诺旋转,"在一排多米诺骨牌中，A[i] 和 B[i] 分别代表第 i 个多米诺骨牌的上半部分和下半部分。（一个多米诺是两个从 1 到 6 的数字同列平铺形成的  该平铺的每一半上都有一个数字。）
我们可以旋转第 i 张多米诺，使得 A[i] 和 B[i] 的值交换。
返回能使 A 中所有值或者 B 中所有值都相同的最小旋转次数。
如果无法做到，返回 -1.
 
示例 1：
输入：A = [2,1,2,4,2,2], B = [5,2,6,2,3,2]
输出：2
解释：
图一表示：在我们旋转之前， A 和 B 给出的多米诺牌。
如果我们旋转第二个和第四个多米诺骨牌，我们可以使上面一行中的每个值都等于 2，如图二所示。
示例 2：
输入：A = [3,5,1,2,3], B = [3,6,3,3,4]
输出：-1
解释：
在这种情况下，不可能旋转多米诺牌使一行的值相等。
 
提示：
	1 <= A[i], B[i] <= 6
	2 <= A.length == B.length <= 20000
"
1050,Construct Binary Search Tree from Preorder Traversal,"Return the root node of a binary search tree that matches the given preorder traversal.
(Recall that a binary search tree is a binary tree where for every node, any descendant of node.left has a value < node.val, and any descendant of node.right has a value > node.val.  Also recall that a preorder traversal displays the value of the node first, then traverses node.left, then traverses node.right.)
It's guaranteed that for the given test cases there is always possible to find a binary search tree with the given requirements.
Example 1:
Input: [8,5,1,7,10,12]
Output: [8,5,10,1,7,null,12]
 
Constraints:
	1 <= preorder.length <= 100
	1 <= preorder[i] <= 10^8
	The values of preorder are distinct.
",Medium,7098,9858,72.0%,Algorithms,78,先序遍历构造二叉树,"返回与给定先序遍历 preorder 相匹配的二叉搜索树（binary search tree）的根结点。
(回想一下，二叉搜索树是二叉树的一种，其每个节点都满足以下规则，对于 node.left 的任何后代，值总 < node.val，而 node.right 的任何后代，值总 > node.val。此外，先序遍历首先显示节点的值，然后遍历 node.left，接着遍历 node.right。）
 
示例：
输入：[8,5,1,7,10,12]
输出：[8,5,10,1,7,null,12]
 
提示：
	1 <= preorder.length <= 100
	先序 preorder 中的值是不同的。
"
1054,Complement of Base 10 Integer,"Every non-negative integer N has a binary representation.  For example, 5 can be represented as ""101"" in binary, 11 as ""1011"" in binary, and so on.  Note that except for N = 0, there are no leading zeroes in any binary representation.
The complement of a binary representation is the number in binary you get when changing every 1 to a 0 and 0 to a 1.  For example, the complement of ""101"" in binary is ""010"" in binary.
For a given number N in base-10, return the complement of it's binary representation as a base-10 integer.
 
Example 1:
Input: 5
Output: 2
Explanation: 5 is ""101"" in binary, with complement ""010"" in binary, which is 2 in base-10.
Example 2:
Input: 7
Output: 0
Explanation: 7 is ""111"" in binary, with complement ""000"" in binary, which is 0 in base-10.
Example 3:
Input: 10
Output: 5
Explanation: 10 is ""1010"" in binary, with complement ""0101"" in binary, which is 5 in base-10.
 
Note:
	0 <= N < 10^9
	This question is the same as 476: https://leetcode.com/problems/number-complement/
",Easy,8224,13836,59.4%,Algorithms,29,十进制整数的反码,"每个非负整数 N 都有其二进制表示。例如， 5 可以被表示为二进制 ""101""，11 可以用二进制 ""1011"" 表示，依此类推。注意，除 N = 0 外，任何二进制表示中都不含前导零。
二进制的反码表示是将每个 1 改为 0 且每个 0 变为 1。例如，二进制数 ""101"" 的二进制反码为 ""010""。
给你一个十进制数 N，请你返回其二进制表示的反码所对应的十进制整数。
 
示例 1：
输入：5
输出：2
解释：5 的二进制表示为 ""101""，其二进制反码为 ""010""，也就是十进制中的 2 。
示例 2：
输入：7
输出：0
解释：7 的二进制表示为 ""111""，其二进制反码为 ""000""，也就是十进制中的 0 。
示例 3：
输入：10
输出：5
解释：10 的二进制表示为 ""1010""，其二进制反码为 ""0101""，也就是十进制中的 5 。
 
提示：
	0 <= N < 10^9
	本题与 476：https://leetcode-cn.com/problems/number-complement/ 相同
"
1055,Pairs of Songs With Total Durations Divisible by 60,"In a list of songs, the i-th song has a duration of time[i] seconds. 
Return the number of pairs of songs for which their total duration in seconds is divisible by 60.  Formally, we want the number of indices i, j such that i < j with (time[i] + time[j]) % 60 == 0.
 
Example 1:
Input: [30,20,150,100,40]
Output: 3
Explanation: Three pairs have a total duration divisible by 60:
(time[0] = 30, time[2] = 150): total duration 180
(time[1] = 20, time[3] = 100): total duration 120
(time[1] = 20, time[4] = 40): total duration 60
Example 2:
Input: [60,60,60]
Output: 3
Explanation: All three pairs have a total duration of 120, which is divisible by 60.
 
Note:
	1 <= time.length <= 60000
	1 <= time[i] <= 500
",Easy,12730,29613,43.0%,Algorithms,95,总持续时间可被 60 整除的歌曲,"在歌曲列表中，第 i 首歌曲的持续时间为 time[i] 秒。
返回其总持续时间（以秒为单位）可被 60 整除的歌曲对的数量。形式上，我们希望索引的数字 i 和 j 满足  i < j 且有 (time[i] + time[j]) % 60 == 0。
 
示例 1：
输入：[30,20,150,100,40]
输出：3
解释：这三对的总持续时间可被 60 整数：
(time[0] = 30, time[2] = 150): 总持续时间 180
(time[1] = 20, time[3] = 100): 总持续时间 120
(time[1] = 20, time[4] = 40): 总持续时间 60
示例 2：
输入：[60,60,60]
输出：3
解释：所有三对的总持续时间都是 120，可以被 60 整数。
 
提示：
	1 <= time.length <= 60000
	1 <= time[i] <= 500
"
1056,Capacity To Ship Packages Within D Days,"A conveyor belt has packages that must be shipped from one port to another within D days.
The i-th package on the conveyor belt has a weight of weights[i].  Each day, we load the ship with packages on the conveyor belt (in the order given by weights). We may not load more weight than the maximum weight capacity of the ship.
Return the least weight capacity of the ship that will result in all the packages on the conveyor belt being shipped within D days.
 
Example 1:
Input: weights = [1,2,3,4,5,6,7,8,9,10], D = 5
Output: 15
Explanation: 
A ship capacity of 15 is the minimum to ship all the packages in 5 days like this:
1st day: 1, 2, 3, 4, 5
2nd day: 6, 7
3rd day: 8
4th day: 9
5th day: 10
Note that the cargo must be shipped in the order given, so using a ship of capacity 14 and splitting the packages into parts like (2, 3, 4, 5), (1, 6, 7), (8), (9), (10) is not allowed. 
Example 2:
Input: weights = [3,2,2,4,1,4], D = 3
Output: 6
Explanation: 
A ship capacity of 6 is the minimum to ship all the packages in 3 days like this:
1st day: 3, 2
2nd day: 2, 4
3rd day: 1, 4
Example 3:
Input: weights = [1,2,3,1,1], D = 4
Output: 3
Explanation: 
1st day: 1
2nd day: 2
3rd day: 3
4th day: 1, 1
 
Constraints:
	1 <= D <= weights.length <= 50000
	1 <= weights[i] <= 500
",Medium,8907,16776,53.1%,Algorithms,86,在 D 天内送达包裹的能力,"传送带上的包裹必须在 D 天内从一个港口运送到另一个港口。
传送带上的第 i 个包裹的重量为 weights[i]。每一天，我们都会按给出重量的顺序往传送带上装载包裹。我们装载的重量不会超过船的最大运载重量。
返回能在 D 天内将传送带上的所有包裹送达的船的最低运载能力。
 
示例 1：
输入：weights = [1,2,3,4,5,6,7,8,9,10], D = 5
输出：15
解释：
船舶最低载重 15 就能够在 5 天内送达所有包裹，如下所示：
第 1 天：1, 2, 3, 4, 5
第 2 天：6, 7
第 3 天：8
第 4 天：9
第 5 天：10
请注意，货物必须按照给定的顺序装运，因此使用载重能力为 14 的船舶并将包装分成 (2, 3, 4, 5), (1, 6, 7), (8), (9), (10) 是不允许的。 
示例 2：
输入：weights = [3,2,2,4,1,4], D = 3
输出：6
解释：
船舶最低载重 6 就能够在 3 天内送达所有包裹，如下所示：
第 1 天：3, 2
第 2 天：2, 4
第 3 天：1, 4
示例 3：
输入：weights = [1,2,3,1,1], D = 4
输出：3
解释：
第 1 天：1
第 2 天：2
第 3 天：3
第 4 天：1, 1
 
提示：
	1 <= D <= weights.length <= 50000
	1 <= weights[i] <= 500
"
1057,Numbers With Repeated Digits,"Given a positive integer N, return the number of positive integers less than or equal to N that have at least 1 repeated digit.

 


Example 1:


Input: 20
Output: 1
Explanation: The only positive number (<= 20) with at least 1 repeated digit is 11.



Example 2:


Input: 100
Output: 10
Explanation: The positive numbers (<= 100) with atleast 1 repeated digit are 11, 22, 33, 44, 55, 66, 77, 88, 99, and 100.



Example 3:


Input: 1000
Output: 262



 

Note:


	1 <= N <= 10^9


",Hard,1888,6298,30.0%,Algorithms,58,至少有 1 位重复的数字,"给定正整数 N，返回小于等于 N 且具有至少 1 位重复数字的正整数的个数。
 
示例 1：
输入：20
输出：1
解释：具有至少 1 位重复数字的正数（<= 20）只有 11 。
示例 2：
输入：100
输出：10
解释：具有至少 1 位重复数字的正数（<= 100）有 11，22，33，44，55，66，77，88，99 和 100 。
示例 3：
输入：1000
输出：262
 
提示：
	1 <= N <= 10^9
"
1062,Partition Array Into Three Parts With Equal Sum,"Given an array A of integers, return true if and only if we can partition the array into three non-empty parts with equal sums.
Formally, we can partition the array if we can find indexes i+1 < j with (A[0] + A[1] + ... + A[i] == A[i+1] + A[i+2] + ... + A[j-1] == A[j] + A[j-1] + ... + A[A.length - 1])
 
Example 1:
Input: A = [0,2,1,-6,6,-7,9,1,2,0,1]
Output: true
Explanation: 0 + 2 + 1 = -6 + 6 - 7 + 9 + 1 = 2 + 0 + 1
Example 2:
Input: A = [0,2,1,-6,6,7,9,-1,2,0,1]
Output: false
Example 3:
Input: A = [3,3,6,5,-2,2,5,1,-9,4]
Output: true
Explanation: 3 + 3 = 6 = 5 - 2 + 2 + 5 + 1 - 9 + 4
 
Constraints:
	3 <= A.length <= 50000
	-10^4 <= A[i] <= 10^4
",Easy,35553,87918,40.4%,Algorithms,111,将数组分成和相等的三个部分,"给你一个整数数组 A，只有可以将其划分为三个和相等的非空部分时才返回 true，否则返回 false。
形式上，如果可以找出索引 i+1 < j 且满足 A[0] + A[1] + ... + A[i] == A[i+1] + A[i+2] + ... + A[j-1] == A[j] + A[j-1] + ... + A[A.length - 1] 就可以将数组三等分。
 
示例 1：
输入：[0,2,1,-6,6,-7,9,1,2,0,1]
输出：true
解释：0 + 2 + 1 = -6 + 6 - 7 + 9 + 1 = 2 + 0 + 1
示例 2：
输入：[0,2,1,-6,6,7,9,-1,2,0,1]
输出：false
示例 3：
输入：[3,3,6,5,-2,2,5,1,-9,4]
输出：true
解释：3 + 3 = 6 = 5 - 2 + 2 + 5 + 1 - 9 + 4
 
提示：
	3 <= A.length <= 50000
	-10^4 <= A[i] <= 10^4
"
1063,Best Sightseeing Pair,"Given an array A of positive integers, A[i] represents the value of the i-th sightseeing spot, and two sightseeing spots i and j have distance j - i between them.

The score of a pair (i < j) of sightseeing spots is (A[i] + A[j] + i - j) : the sum of the values of the sightseeing spots, minus the distance between them.

Return the maximum score of a pair of sightseeing spots.

 

Example 1:


Input: [8,1,5,2,6]
Output: 11
Explanation: i = 0, j = 2, A[i] + A[j] + i - j = 8 + 5 + 0 - 2 = 11


 

Note:


	2 <= A.length <= 50000
	1 <= A[i] <= 1000
",Medium,26306,49631,53.0%,Algorithms,164,最佳观光组合,"给定正整数数组 A，A[i] 表示第 i 个观光景点的评分，并且两个景点 i 和 j 之间的距离为 j - i。
一对景点（i < j）组成的观光组合的得分为（A[i] + A[j] + i - j）：景点的评分之和减去它们两者之间的距离。
返回一对观光景点能取得的最高分。
 
示例：
输入：[8,1,5,2,6]
输出：11
解释：i = 0, j = 2, A[i] + A[j] + i - j = 8 + 5 + 0 - 2 = 11
 
提示：
	2 <= A.length <= 50000
	1 <= A[i] <= 1000
"
1064,Smallest Integer Divisible by K,"Given a positive integer K, you need find the smallest positive integer N such that N is divisible by K, and N only contains the digit 1.

Return the length of N.  If there is no such N, return -1.

 

Example 1:


Input: 1
Output: 1
Explanation: The smallest answer is N = 1, which has length 1.

Example 2:


Input: 2
Output: -1
Explanation: There is no such positive integer N divisible by 2.

Example 3:


Input: 3
Output: 3
Explanation: The smallest answer is N = 111, which has length 3.

 

Note:


	1 <= K <= 10^5
",Medium,2770,8720,31.8%,Algorithms,22,可被 K 整除的最小整数,"给定正整数 K，你需要找出可以被 K 整除的、仅包含数字 1 的最小正整数 N。
返回 N 的长度。如果不存在这样的 N，就返回 -1。
 
示例 1：
输入：1
输出：1
解释：最小的答案是 N = 1，其长度为 1。
示例 2：
输入：2
输出：-1
解释：不存在可被 2 整除的正整数 N 。
示例 3：
输入：3
输出：3
解释：最小的答案是 N = 111，其长度为 3。
 
提示：
	1 <= K <= 10^5
"
1065,Binary String With Substrings Representing 1 To N,"Given a binary string S (a string consisting only of '0' and '1's) and a positive integer N, return true if and only if for every integer X from 1 to N, the binary representation of X is a substring of S.

 

Example 1:


Input: S = ""0110"", N = 3
Output: true


Example 2:


Input: S = ""0110"", N = 4
Output: false


 

Note:


	1 <= S.length <= 1000
	1 <= N <= 10^9

",Medium,3149,5480,57.5%,Algorithms,20,子串能表示从 1 到 N 数字的二进制串,"给定一个二进制字符串 S（一个仅由若干 '0' 和 '1' 构成的字符串）和一个正整数 N，如果对于从 1 到 N 的每个整数 X，其二进制表示都是 S 的子串，就返回 true，否则返回 false。
 
示例 1：
输入：S = ""0110"", N = 3
输出：true
示例 2：
输入：S = ""0110"", N = 4
输出：false
 
提示：
	1 <= S.length <= 1000
	1 <= N <= 10^9
"
1070,Convert to Base -2,"Given a number N, return a string consisting of ""0""s and ""1""s that represents its value in base -2 (negative two).

The returned string must have no leading zeroes, unless the string is ""0"".

 


Example 1:


Input: 2
Output: ""110""
Explantion: (-2) ^ 2 + (-2) ^ 1 = 2



Example 2:


Input: 3
Output: ""111""
Explantion: (-2) ^ 2 + (-2) ^ 1 + (-2) ^ 0 = 3



Example 3:


Input: 4
Output: ""100""
Explantion: (-2) ^ 2 = 4


 

Note:


	0 <= N <= 10^9



",Medium,2035,3818,53.3%,Algorithms,27,负二进制转换,"给出数字 N，返回由若干 ""0"" 和 ""1""组成的字符串，该字符串为 N 的负二进制（base -2）表示。
除非字符串就是 ""0""，否则返回的字符串中不能含有前导零。
 
示例 1：
输入：2
输出：""110""
解释：(-2) ^ 2 + (-2) ^ 1 = 2
示例 2：
输入：3
输出：""111""
解释：(-2) ^ 2 + (-2) ^ 1 + (-2) ^ 0 = 3
示例 3：
输入：4
输出：""100""
解释：(-2) ^ 2 = 4
 
提示：
	0 <= N <= 10^9
"
1071,Binary Prefix Divisible By 5,"Given an array A of 0s and 1s, consider N_i: the i-th subarray from A[0] to A[i] interpreted as a binary number (from most-significant-bit to least-significant-bit.)

Return a list of booleans answer, where answer[i] is true if and only if N_i is divisible by 5.

Example 1:


Input: [0,1,1]
Output: [true,false,false]
Explanation: 
The input numbers in binary are 0, 01, 011; which are 0, 1, and 3 in base-10.  Only the first number is divisible by 5, so answer[0] is true.


Example 2:


Input: [1,1,1]
Output: [false,false,false]


Example 3:


Input: [0,1,1,1,1,1]
Output: [true,false,false,false,true,false]


Example 4:


Input: [1,1,1,0,1]
Output: [false,false,false,false,false]


 

Note:


	1 <= A.length <= 30000
	A[i] is 0 or 1

",Easy,9480,20355,46.6%,Algorithms,46,可被 5 整除的二进制前缀,"给定由若干 0 和 1 组成的数组 A。我们定义 N_i：从 A[0] 到 A[i] 的第 i 个子数组被解释为一个二进制数（从最高有效位到最低有效位）。
返回布尔值列表 answer，只有当 N_i 可以被 5 整除时，答案 answer[i] 为 true，否则为 false。
 
示例 1：
输入：[0,1,1]
输出：[true,false,false]
解释：
输入数字为 0, 01, 011；也就是十进制中的 0, 1, 3 。只有第一个数可以被 5 整除，因此 answer[0] 为真。
示例 2：
输入：[1,1,1]
输出：[false,false,false]
示例 3：
输入：[0,1,1,1,1,1]
输出：[true,false,false,false,true,false]
示例 4：
输入：[1,1,1,0,1]
输出：[false,false,false,false,false]
 
提示：
	1 <= A.length <= 30000
	A[i] 为 0 或 1
"
1072,Next Greater Node In Linked List,"We are given a linked list with head as the first node.  Let's number the nodes in the list: node_1, node_2, node_3, ... etc.

Each node may have a next larger value: for node_i, next_larger(node_i) is the node_j.val such that j > i, node_j.val > node_i.val, and j is the smallest possible choice.  If such a j does not exist, the next larger value is 0.

Return an array of integers answer, where answer[i] = next_larger(node_{i+1}).

Note that in the example inputs (not outputs) below, arrays such as [2,1,5] represent the serialization of a linked list with a head node value of 2, second node value of 1, and third node value of 5.

 


Example 1:


Input: [2,1,5]
Output: [5,5,0]



Example 2:


Input: [2,7,4,3,5]
Output: [7,0,5,5,0]



Example 3:


Input: [1,7,5,1,9,2,5,1]
Output: [7,9,9,9,0,5,0,0]


 

Note:


	1 <= node.val <= 10^9 for each node in the linked list.
	The given list has length in the range [0, 10000].



",Medium,9682,17423,55.6%,Algorithms,84,链表中的下一个更大节点,"给出一个以头节点 head 作为第一个节点的链表。链表中的节点分别编号为：node_1, node_2, node_3, ... 。
每个节点都可能有下一个更大值（next larger value）：对于 node_i，如果其 next_larger(node_i) 是 node_j.val，那么就有 j > i 且  node_j.val > node_i.val，而 j 是可能的选项中最小的那个。如果不存在这样的 j，那么下一个更大值为 0 。
返回整数答案数组 answer，其中 answer[i] = next_larger(node_{i+1}) 。
注意：在下面的示例中，诸如 [2,1,5] 这样的输入（不是输出）是链表的序列化表示，其头节点的值为 2，第二个节点值为 1，第三个节点值为 5 。
 
示例 1：
输入：[2,1,5]
输出：[5,5,0]
示例 2：
输入：[2,7,4,3,5]
输出：[7,0,5,5,0]
示例 3：
输入：[1,7,5,1,9,2,5,1]
输出：[7,9,9,9,0,5,0,0]
 
提示：
	对于链表中的每个节点，1 <= node.val <= 10^9
	给定列表的长度在 [0, 10000] 范围内
"
1073,Number of Enclaves,"Given a 2D array A, each cell is 0 (representing sea) or 1 (representing land)

A move consists of walking from one land square 4-directionally to another land square, or off the boundary of the grid.

Return the number of land squares in the grid for which we cannot walk off the boundary of the grid in any number of moves.

 

Example 1:


Input: [[0,0,0,0],[1,0,1,0],[0,1,1,0],[0,0,0,0]]
Output: 3
Explanation: 
There are three 1s that are enclosed by 0s, and one 1 that isn't enclosed because its on the boundary.

Example 2:


Input: [[0,1,1,0],[0,0,1,0],[0,0,1,0],[0,0,0,0]]
Output: 0
Explanation: 
All 1s are either on the boundary or can reach the boundary.


 

Note:


	1 <= A.length <= 500
	1 <= A[i].length <= 500
	0 <= A[i][j] <= 1
	All rows have the same size.
",Medium,4457,8747,51.0%,Algorithms,30,飞地的数量,"给出一个二维数组 A，每个单元格为 0（代表海）或 1（代表陆地）。
移动是指在陆地上从一个地方走到另一个地方（朝四个方向之一）或离开网格的边界。
返回网格中无法在任意次数的移动中离开网格边界的陆地单元格的数量。
 
示例 1：
输入：[[0,0,0,0],[1,0,1,0],[0,1,1,0],[0,0,0,0]]
输出：3
解释： 
有三个 1 被 0 包围。一个 1 没有被包围，因为它在边界上。
示例 2：
输入：[[0,1,1,0],[0,0,1,0],[0,0,1,0],[0,0,0,0]]
输出：0
解释：
所有 1 都在边界上或可以到达边界。
 
提示：
	1 <= A.length <= 500
	1 <= A[i].length <= 500
	0 <= A[i][j] <= 1
	所有行的大小都相同
"
1078,Remove Outermost Parentheses,"A valid parentheses string is either empty (""""), ""("" + A + "")"", or A + B, where A and B are valid parentheses strings, and + represents string concatenation.  For example, """", ""()"", ""(())()"", and ""(()(()))"" are all valid parentheses strings.

A valid parentheses string S is primitive if it is nonempty, and there does not exist a way to split it into S = A+B, with A and B nonempty valid parentheses strings.

Given a valid parentheses string S, consider its primitive decomposition: S = P_1 + P_2 + ... + P_k, where P_i are primitive valid parentheses strings.

Return S after removing the outermost parentheses of every primitive string in the primitive decomposition of S.

 

Example 1:


Input: ""(()())(())""
Output: ""()()()""
Explanation: 
The input string is ""(()())(())"", with primitive decomposition ""(()())"" + ""(())"".
After removing outer parentheses of each part, this is ""()()"" + ""()"" = ""()()()"".



Example 2:


Input: ""(()())(())(()(()))""
Output: ""()()()()(())""
Explanation: 
The input string is ""(()())(())(()(()))"", with primitive decomposition ""(()())"" + ""(())"" + ""(()(()))"".
After removing outer parentheses of each part, this is ""()()"" + ""()"" + ""()(())"" = ""()()()()(())"".



Example 3:


Input: ""()()""
Output: """"
Explanation: 
The input string is ""()()"", with primitive decomposition ""()"" + ""()"".
After removing outer parentheses of each part, this is """" + """" = """".


 



Note:


	S.length <= 10000
	S[i] is ""("" or "")""
	S is a valid parentheses string




 

",Easy,30349,39324,77.2%,Algorithms,117,删除最外层的括号,"有效括号字符串为空 ("""")、""("" + A + "")"" 或 A + B，其中 A 和 B 都是有效的括号字符串，+ 代表字符串的连接。例如，""""，""()""，""(())()"" 和 ""(()(()))"" 都是有效的括号字符串。
如果有效字符串 S 非空，且不存在将其拆分为 S = A+B 的方法，我们称其为原语（primitive），其中 A 和 B 都是非空有效括号字符串。
给出一个非空有效字符串 S，考虑将其进行原语化分解，使得：S = P_1 + P_2 + ... + P_k，其中 P_i 是有效括号字符串原语。
对 S 进行原语化分解，删除分解中每个原语字符串的最外层括号，返回 S 。
 
示例 1：
输入：""(()())(())""
输出：""()()()""
解释：
输入字符串为 ""(()())(())""，原语化分解得到 ""(()())"" + ""(())""，
删除每个部分中的最外层括号后得到 ""()()"" + ""()"" = ""()()()""。
示例 2：
输入：""(()())(())(()(()))""
输出：""()()()()(())""
解释：
输入字符串为 ""(()())(())(()(()))""，原语化分解得到 ""(()())"" + ""(())"" + ""(()(()))""，
删除每个部分中的最外层括号后得到 ""()()"" + ""()"" + ""()(())"" = ""()()()()(())""。
示例 3：
输入：""()()""
输出：""""
解释：
输入字符串为 ""()()""，原语化分解得到 ""()"" + ""()""，
删除每个部分中的最外层括号后得到 """" + """" = """"。
 
提示：
	S.length <= 10000
	S[i] 为 ""("" 或 "")""
	S 是一个有效括号字符串
"
1079,Sum of Root To Leaf Binary Numbers,"Given a binary tree, each node has value 0 or 1.  Each root-to-leaf path represents a binary number starting with the most significant bit.  For example, if the path is 0 -> 1 -> 1 -> 0 -> 1, then this could represent 01101 in binary, which is 13.

For all leaves in the tree, consider the numbers represented by the path from the root to that leaf.

Return the sum of these numbers.

 

Example 1:




Input: [1,0,1,0,1,0,1]
Output: 22
Explanation: (100) + (101) + (110) + (111) = 4 + 5 + 6 + 7 = 22


 

Note:


	The number of nodes in the tree is between 1 and 1000.
	node.val is 0 or 1.
	The answer will not exceed 2^31 - 1.

",Easy,7930,12404,63.9%,Algorithms,56,从根到叶的二进制数之和,"给出一棵二叉树，其上每个结点的值都是 0 或 1 。每一条从根到叶的路径都代表一个从最高有效位开始的二进制数。例如，如果路径为 0 -> 1 -> 1 -> 0 -> 1，那么它表示二进制数 01101，也就是 13 。
对树上的每一片叶子，我们都要找出从根到该叶子的路径所表示的数字。
以 10^9 + 7 为模，返回这些数字之和。
 
示例：
输入：[1,0,1,0,1,0,1]
输出：22
解释：(100) + (101) + (110) + (111) = 4 + 5 + 6 + 7 = 22
 
提示：
	树中的结点数介于 1 和 1000 之间。
	node.val 为 0 或 1 。
"
